Mês,Total de Leads,Leads Convertidos,Taxa de Conversão (%)
2021-12,0.0,2.0,inf
2022-02,0.0,2.0,inf
2022-03,0.0,1.0,inf
2022-04,0.0,3.0,inf
2022-05,0.0,1.0,inf
2022-06,0.0,3.0,inf
2022-07,0.0,6.0,inf
2022-08,0.0,3.0,inf
2022-09,0.0,1.0,inf
2022-10,0.0,2.0,inf
2022-11,0.0,2.0,inf
2022-12,0.0,2.0,inf
2023-01,0.0,3.0,inf
2023-03,0.0,1.0,inf
2023-04,0.0,4.0,inf
2023-05,0.0,7.0,inf
2023-06,0.0,5.0,inf
2023-07,0.0,2.0,inf
2023-08,0.0,4.0,inf
2023-09,0.0,4.0,inf
2023-10,0.0,3.0,inf
2023-11,0.0,6.0,inf
2023-12,0.0,5.0,inf
2024-01,0.0,2.0,inf
2024-02,0.0,9.0,inf
2024-03,0.0,22.0,inf
2024-04,0.0,14.0,inf
2024-05,0.0,26.0,inf
2024-06,0.0,19.0,inf
2024-07,0.0,26.0,inf
2024-08,0.0,26.0,inf
2024-09,0.0,27.0,inf
2024-10,0.0,17.0,inf
2024-11,0.0,24.0,inf
2024-12,0.0,14.0,inf
2025-01,0.0,18.0,inf
2025-02,4907.0,16.0,0.32606480538006927
2025-03,1149.0,23.0,2.0017406440382945
2025-04,1098.0,18.0,1.639344262295082
2025-05,1013.0,18.0,1.7769002961500493
2025-06,226.0,0.0,0.0
